,Frame,Engine,Engine Coords,Hand,Hand Coords
1270,0,+,"([[203, 1241], [695, 1917], [203, 1917], [695, 1241]], 449, 1579)",+,"([[490, 953], [888, 1247], [490, 1247], [888, 953]], 689, 1100)"
1271,0,+,"([[202, 1238], [694, 1917], [202, 1917], [694, 1238]], 448, 1577)",+,"([[468, 954], [891, 1243], [468, 1243], [891, 954]], 679, 1098)"
1272,0,+,"([[201, 1238], [695, 1918], [201, 1918], [695, 1238]], 448, 1578)",+,"([[462, 952], [888, 1247], [462, 1247], [888, 952]], 675, 1099)"
1273,0,+,"([[196, 1237], [694, 1918], [196, 1918], [694, 1237]], 445, 1577)",+,"([[470, 940], [895, 1249], [470, 1249], [895, 940]], 682, 1094)"
1274,0,+,"([[198, 1236], [695, 1917], [198, 1917], [695, 1236]], 446, 1576)",+,"([[477, 935], [889, 1245], [477, 1245], [889, 935]], 683, 1090)"
1275,0,+,"([[197, 1236], [694, 1917], [197, 1917], [694, 1236]], 445, 1576)",+,"([[508, 929], [893, 1240], [508, 1240], [893, 929]], 700, 1084)"
1276,0,+,"([[197, 1239], [691, 1917], [197, 1917], [691, 1239]], 444, 1578)",+,"([[504, 931], [894, 1237], [504, 1237], [894, 931]], 699, 1084)"
1277,0,+,"([[198, 1236], [692, 1917], [198, 1917], [692, 1236]], 445, 1576)",+,"([[504, 928], [899, 1235], [504, 1235], [899, 928]], 701, 1081)"
1278,0,+,"([[195, 1235], [691, 1915], [195, 1915], [691, 1235]], 443, 1575)",+,"([[506, 927], [902, 1238], [506, 1238], [902, 927]], 704, 1082)"
1279,0,+,"([[198, 1234], [693, 1913], [198, 1913], [693, 1234]], 445, 1573)",+,"([[509, 930], [899, 1237], [509, 1237], [899, 930]], 704, 1083)"
1280,0,+,"([[202, 1235], [693, 1914], [202, 1914], [693, 1235]], 447, 1574)",+,"([[512, 931], [904, 1236], [512, 1236], [904, 931]], 708, 1083)"
1281,0,+,"([[200, 1234], [691, 1914], [200, 1914], [691, 1234]], 445, 1574)",+,"([[521, 933], [904, 1236], [521, 1236], [904, 933]], 712, 1084)"
1282,0,+,"([[204, 1234], [691, 1914], [204, 1914], [691, 1234]], 447, 1574)",+,"([[524, 937], [900, 1235], [524, 1235], [900, 937]], 712, 1086)"
1283,0,+,"([[203, 1233], [692, 1915], [203, 1915], [692, 1233]], 447, 1574)",+,"([[531, 936], [906, 1225], [531, 1225], [906, 936]], 718, 1080)"
1284,0,+,"([[197, 1233], [690, 1915], [197, 1915], [690, 1233]], 443, 1574)",+,"([[527, 944], [895, 1230], [527, 1230], [895, 944]], 711, 1087)"
1285,0,+,"([[200, 1230], [690, 1914], [200, 1914], [690, 1230]], 445, 1572)",+,"([[492, 958], [903, 1237], [492, 1237], [903, 958]], 697, 1097)"
1286,0,+,"([[196, 1231], [688, 1913], [196, 1913], [688, 1231]], 442, 1572)",+,"([[462, 963], [901, 1242], [462, 1242], [901, 963]], 681, 1102)"
1287,0,+,"([[200, 1231], [688, 1913], [200, 1913], [688, 1231]], 444, 1572)",+,"([[457, 958], [920, 1229], [457, 1229], [920, 958]], 688, 1093)"
1288,0,+,"([[197, 1226], [688, 1912], [197, 1912], [688, 1226]], 442, 1569)",+,"([[468, 948], [928, 1229], [468, 1229], [928, 948]], 698, 1088)"
1289,0,+,"([[194, 1223], [687, 1912], [194, 1912], [687, 1223]], 440, 1567)",+,"([[475, 934], [944, 1220], [475, 1220], [944, 934]], 709, 1077)"
1290,0,+,"([[198, 1223], [686, 1912], [198, 1912], [686, 1223]], 442, 1567)",+,"([[485, 925], [949, 1226], [485, 1226], [949, 925]], 717, 1075)"
1291,0,+,"([[203, 1222], [689, 1912], [203, 1912], [689, 1222]], 446, 1567)",+,"([[500, 922], [955, 1230], [500, 1230], [955, 922]], 727, 1076)"
1292,0,+,"([[204, 1221], [689, 1912], [204, 1912], [689, 1221]], 446, 1566)",+,"([[498, 921], [950, 1229], [498, 1229], [950, 921]], 724, 1075)"
1293,0,+,"([[202, 1223], [688, 1911], [202, 1911], [688, 1223]], 445, 1567)",+,"([[506, 916], [957, 1224], [506, 1224], [957, 916]], 731, 1070)"
1294,0,+,"([[204, 1221], [689, 1912], [204, 1912], [689, 1221]], 446, 1566)",+,"([[510, 918], [947, 1227], [510, 1227], [947, 918]], 728, 1072)"
1295,0,+,"([[201, 1217], [688, 1910], [201, 1910], [688, 1217]], 444, 1563)",+,"([[516, 916], [942, 1225], [516, 1225], [942, 916]], 729, 1070)"
1296,0,+,"([[205, 1218], [690, 1912], [205, 1912], [690, 1218]], 447, 1565)",+,"([[524, 915], [921, 1231], [524, 1231], [921, 915]], 722, 1073)"
1297,0,+,"([[204, 1217], [691, 1911], [204, 1911], [691, 1217]], 447, 1564)",+,"([[522, 913], [919, 1223], [522, 1223], [919, 913]], 720, 1068)"
1298,0,+,"([[205, 1217], [690, 1911], [205, 1911], [690, 1217]], 447, 1564)",+,"([[518, 907], [932, 1218], [518, 1218], [932, 907]], 725, 1062)"
1299,0,+,"([[204, 1217], [690, 1912], [204, 1912], [690, 1217]], 447, 1564)",+,"([[516, 907], [926, 1217], [516, 1217], [926, 907]], 721, 1062)"
1300,0,+,"([[201, 1216], [691, 1910], [201, 1910], [691, 1216]], 446, 1563)",+,"([[516, 905], [930, 1218], [516, 1218], [930, 905]], 723, 1061)"
1301,0,+,"([[203, 1211], [692, 1910], [203, 1910], [692, 1211]], 447, 1560)",+,"([[526, 902], [912, 1217], [526, 1217], [912, 902]], 719, 1059)"
1302,0,+,"([[203, 1212], [692, 1910], [203, 1910], [692, 1212]], 447, 1561)",+,"([[537, 904], [913, 1219], [537, 1219], [913, 904]], 725, 1061)"
1303,0,+,"([[203, 1211], [692, 1911], [203, 1911], [692, 1211]], 447, 1561)",+,"([[526, 905], [913, 1215], [526, 1215], [913, 905]], 719, 1060)"
1304,0,+,"([[209, 1211], [691, 1908], [209, 1908], [691, 1211]], 450, 1559)",+,"([[525, 907], [914, 1212], [525, 1212], [914, 907]], 719, 1059)"
1305,0,+,"([[215, 1214], [692, 1907], [215, 1907], [692, 1214]], 453, 1560)",+,"([[524, 911], [917, 1205], [524, 1205], [917, 911]], 720, 1058)"
1306,0,+,"([[216, 1213], [692, 1906], [216, 1906], [692, 1213]], 454, 1559)",+,"([[505, 922], [914, 1212], [505, 1212], [914, 922]], 709, 1067)"
1307,0,+,"([[217, 1210], [691, 1908], [217, 1908], [691, 1210]], 454, 1559)",+,"([[485, 921], [920, 1219], [485, 1219], [920, 921]], 702, 1070)"
1308,0,+,"([[219, 1212], [692, 1907], [219, 1907], [692, 1212]], 455, 1559)",+,"([[485, 914], [925, 1221], [485, 1221], [925, 914]], 705, 1067)"
1309,0,+,"([[218, 1211], [691, 1906], [218, 1906], [691, 1211]], 454, 1558)",+,"([[489, 905], [929, 1219], [489, 1219], [929, 905]], 709, 1062)"
1310,0,+,"([[218, 1210], [692, 1908], [218, 1908], [692, 1210]], 455, 1559)",+,"([[506, 903], [930, 1215], [506, 1215], [930, 903]], 718, 1059)"
1311,0,+,"([[216, 1209], [695, 1907], [216, 1907], [695, 1209]], 455, 1558)",+,"([[513, 899], [928, 1209], [513, 1209], [928, 899]], 720, 1054)"
1312,0,+,"([[221, 1208], [696, 1906], [221, 1906], [696, 1208]], 458, 1557)",+,"([[509, 898], [933, 1206], [509, 1206], [933, 898]], 721, 1052)"
1313,0,+,"([[217, 1201], [700, 1905], [217, 1905], [700, 1201]], 458, 1553)",+,"([[509, 897], [935, 1206], [509, 1206], [935, 897]], 722, 1051)"
1314,0,+,"([[219, 1202], [700, 1904], [219, 1904], [700, 1202]], 459, 1553)",+,"([[511, 891], [922, 1206], [511, 1206], [922, 891]], 716, 1048)"
1315,0,+,"([[217, 1199], [703, 1905], [217, 1905], [703, 1199]], 460, 1552)",+,"([[519, 887], [920, 1204], [519, 1204], [920, 887]], 719, 1045)"
1316,0,+,"([[223, 1200], [706, 1902], [223, 1902], [706, 1200]], 464, 1551)",+,"([[517, 886], [924, 1205], [517, 1205], [924, 886]], 720, 1045)"
1317,0,+,"([[227, 1203], [707, 1901], [227, 1901], [707, 1203]], 467, 1552)",+,"([[516, 884], [918, 1202], [516, 1202], [918, 884]], 717, 1043)"
1318,0,+,"([[225, 1199], [708, 1902], [225, 1902], [708, 1199]], 466, 1550)",+,"([[516, 884], [917, 1204], [516, 1204], [917, 884]], 716, 1044)"
1319,0,+,"([[225, 1198], [708, 1904], [225, 1904], [708, 1198]], 466, 1551)",+,"([[515, 889], [910, 1203], [515, 1203], [910, 889]], 712, 1046)"
1320,0,+,"([[225, 1196], [710, 1901], [225, 1901], [710, 1196]], 467, 1548)",+,"([[516, 887], [912, 1201], [516, 1201], [912, 887]], 714, 1044)"
1321,0,+,"([[221, 1199], [713, 1905], [221, 1905], [713, 1199]], 467, 1552)",+,"([[519, 888], [905, 1198], [519, 1198], [905, 888]], 712, 1043)"
1322,0,+,"([[218, 1198], [715, 1905], [218, 1905], [715, 1198]], 466, 1551)",+,"([[520, 885], [914, 1200], [520, 1200], [914, 885]], 717, 1042)"
1323,0,+,"([[224, 1195], [717, 1905], [224, 1905], [717, 1195]], 470, 1550)",+,"([[517, 890], [907, 1192], [517, 1192], [907, 890]], 712, 1041)"
1324,0,+,"([[224, 1195], [717, 1904], [224, 1904], [717, 1195]], 470, 1549)",+,"([[515, 889], [914, 1187], [515, 1187], [914, 889]], 714, 1038)"
1325,0,+,"([[224, 1195], [717, 1904], [224, 1904], [717, 1195]], 470, 1549)",+,"([[522, 889], [915, 1186], [522, 1186], [915, 889]], 718, 1037)"
1326,0,+,"([[222, 1194], [717, 1903], [222, 1903], [717, 1194]], 469, 1548)",+,"([[523, 888], [915, 1186], [523, 1186], [915, 888]], 719, 1037)"
1327,0,+,"([[225, 1195], [718, 1902], [225, 1902], [718, 1195]], 471, 1548)",+,"([[521, 887], [914, 1182], [521, 1182], [914, 887]], 717, 1034)"
1328,0,+,"([[229, 1192], [718, 1902], [229, 1902], [718, 1192]], 473, 1547)",+,"([[517, 888], [901, 1198], [517, 1198], [901, 888]], 709, 1043)"
1329,0,+,"([[225, 1192], [718, 1901], [225, 1901], [718, 1192]], 471, 1546)",+,"([[521, 890], [900, 1195], [521, 1195], [900, 890]], 710, 1042)"
1330,0,+,"([[226, 1191], [717, 1901], [226, 1901], [717, 1191]], 471, 1546)",+,"([[526, 885], [909, 1193], [526, 1193], [909, 885]], 717, 1039)"
1331,0,+,"([[234, 1194], [719, 1903], [234, 1903], [719, 1194]], 476, 1548)",+,"([[524, 884], [911, 1187], [524, 1187], [911, 884]], 717, 1035)"
1332,0,+,"([[236, 1200], [719, 1903], [236, 1903], [719, 1200]], 477, 1551)",+,"([[530, 886], [914, 1189], [530, 1189], [914, 886]], 722, 1037)"
1333,0,+,"([[237, 1199], [721, 1904], [237, 1904], [721, 1199]], 479, 1551)",+,"([[528, 888], [914, 1187], [528, 1187], [914, 888]], 721, 1037)"
1334,0,+,"([[239, 1198], [730, 1904], [239, 1904], [730, 1198]], 484, 1551)",+,"([[531, 886], [923, 1199], [531, 1199], [923, 886]], 727, 1042)"
1335,0,+,"([[249, 1197], [736, 1903], [249, 1903], [736, 1197]], 492, 1550)",+,"([[529, 884], [935, 1189], [529, 1189], [935, 884]], 732, 1036)"
1336,0,+,"([[248, 1200], [736, 1899], [248, 1899], [736, 1200]], 492, 1549)",+,"([[524, 881], [938, 1201], [524, 1201], [938, 881]], 731, 1041)"
1337,0,+,"([[246, 1202], [735, 1900], [246, 1900], [735, 1202]], 490, 1551)",+,"([[521, 881], [943, 1201], [521, 1201], [943, 881]], 732, 1041)"
1338,0,+,"([[247, 1199], [735, 1901], [247, 1901], [735, 1199]], 491, 1550)",+,"([[528, 880], [943, 1198], [528, 1198], [943, 880]], 735, 1039)"
1339,0,+,"([[250, 1196], [734, 1905], [250, 1905], [734, 1196]], 492, 1550)",+,"([[531, 881], [945, 1195], [531, 1195], [945, 881]], 738, 1038)"
1340,0,+,"([[249, 1197], [734, 1905], [249, 1905], [734, 1197]], 491, 1551)",+,"([[538, 881], [952, 1186], [538, 1186], [952, 881]], 745, 1033)"
1341,0,+,"([[248, 1198], [734, 1905], [248, 1905], [734, 1198]], 491, 1551)",+,"([[532, 880], [939, 1196], [532, 1196], [939, 880]], 735, 1038)"
1342,0,+,"([[247, 1201], [734, 1903], [247, 1903], [734, 1201]], 490, 1552)",+,"([[535, 880], [938, 1193], [535, 1193], [938, 880]], 736, 1036)"
1343,0,+,"([[251, 1205], [733, 1904], [251, 1904], [733, 1205]], 492, 1554)",+,"([[539, 877], [936, 1195], [539, 1195], [936, 877]], 737, 1036)"
1344,0,+,"([[249, 1199], [732, 1903], [249, 1903], [732, 1199]], 490, 1551)",+,"([[537, 879], [927, 1193], [537, 1193], [927, 879]], 732, 1036)"
1345,0,+,"([[249, 1197], [733, 1903], [249, 1903], [733, 1197]], 491, 1550)",+,"([[542, 875], [937, 1185], [542, 1185], [937, 875]], 739, 1030)"
1346,0,+,"([[249, 1191], [734, 1904], [249, 1904], [734, 1191]], 491, 1547)",+,"([[537, 872], [936, 1193], [537, 1193], [936, 872]], 736, 1032)"
1347,0,+,"([[246, 1193], [733, 1905], [246, 1905], [733, 1193]], 489, 1549)",+,"([[535, 870], [931, 1191], [535, 1191], [931, 870]], 733, 1030)"
1348,0,+,"([[249, 1194], [735, 1904], [249, 1904], [735, 1194]], 492, 1549)",+,"([[545, 867], [934, 1187], [545, 1187], [934, 867]], 739, 1027)"
1349,0,+,"([[248, 1193], [734, 1903], [248, 1903], [734, 1193]], 491, 1548)",+,"([[560, 867], [923, 1183], [560, 1183], [923, 867]], 741, 1025)"
1350,0,+,"([[246, 1193], [734, 1903], [246, 1903], [734, 1193]], 490, 1548)",+,"([[561, 870], [923, 1173], [561, 1173], [923, 870]], 742, 1021)"
1351,0,+,"([[243, 1192], [735, 1902], [243, 1902], [735, 1192]], 489, 1547)",+,"([[561, 869], [926, 1177], [561, 1177], [926, 869]], 743, 1023)"
1352,0,+,"([[245, 1188], [736, 1901], [245, 1901], [736, 1188]], 490, 1544)",+,"([[567, 863], [911, 1177], [567, 1177], [911, 863]], 739, 1020)"
1353,0,+,"([[250, 1187], [739, 1906], [250, 1906], [739, 1187]], 494, 1546)",+,"([[565, 862], [932, 1179], [565, 1179], [932, 862]], 748, 1020)"
1354,0,+,"([[252, 1185], [740, 1906], [252, 1906], [740, 1185]], 496, 1545)",+,"([[566, 865], [930, 1176], [566, 1176], [930, 865]], 748, 1020)"
1355,0,+,"([[252, 1180], [739, 1905], [252, 1905], [739, 1180]], 495, 1542)",+,"([[568, 863], [931, 1175], [568, 1175], [931, 863]], 749, 1019)"
1356,0,+,"([[248, 1186], [738, 1903], [248, 1903], [738, 1186]], 493, 1544)",+,"([[567, 1775], [655, 1861], [567, 1861], [655, 1775]], 611, 1818)"
1357,0,+,"([[244, 1183], [739, 1900], [244, 1900], [739, 1183]], 491, 1541)",+,"([[559, 874], [932, 1186], [559, 1186], [932, 874]], 745, 1030)"
1358,0,+,"([[244, 1189], [738, 1900], [244, 1900], [738, 1189]], 491, 1544)",+,"([[523, 886], [937, 1192], [523, 1192], [937, 886]], 730, 1039)"
1359,0,+,"([[243, 1193], [737, 1903], [243, 1903], [737, 1193]], 490, 1548)",+,"([[521, 891], [946, 1193], [521, 1193], [946, 891]], 733, 1042)"
1360,0,+,"([[248, 1194], [736, 1904], [248, 1904], [736, 1194]], 492, 1549)",+,"([[518, 879], [943, 1190], [518, 1190], [943, 879]], 730, 1034)"
1361,0,+,"([[246, 1198], [737, 1905], [246, 1905], [737, 1198]], 491, 1551)",+,"([[532, 886], [932, 1199], [532, 1199], [932, 886]], 732, 1042)"
1362,0,+,"([[249, 1197], [737, 1906], [249, 1906], [737, 1197]], 493, 1551)",+,"([[529, 881], [948, 1193], [529, 1193], [948, 881]], 738, 1037)"
1363,0,+,"([[251, 1197], [738, 1905], [251, 1905], [738, 1197]], 494, 1551)",+,"([[537, 877], [945, 1195], [537, 1195], [945, 877]], 741, 1036)"
1364,0,+,"([[248, 1199], [736, 1908], [248, 1908], [736, 1199]], 492, 1553)",+,"([[539, 882], [932, 1196], [539, 1196], [932, 882]], 735, 1039)"
1365,0,+,"([[247, 1200], [735, 1904], [247, 1904], [735, 1200]], 491, 1552)",+,"([[541, 883], [925, 1192], [541, 1192], [925, 883]], 733, 1037)"
1366,0,+,"([[241, 1196], [733, 1906], [241, 1906], [733, 1196]], 487, 1551)",+,"([[537, 878], [934, 1200], [537, 1200], [934, 878]], 735, 1039)"
1367,0,+,"([[241, 1197], [732, 1906], [241, 1906], [732, 1197]], 486, 1551)",+,"([[554, 875], [928, 1195], [554, 1195], [928, 875]], 741, 1035)"
1368,0,+,"([[240, 1195], [732, 1905], [240, 1905], [732, 1195]], 486, 1550)",+,"([[572, 869], [924, 1185], [572, 1185], [924, 869]], 748, 1027)"
1369,0,+,"([[239, 1195], [728, 1904], [239, 1904], [728, 1195]], 483, 1549)",+,"([[568, 879], [936, 1196], [568, 1196], [936, 879]], 752, 1037)"
1370,0,+,"([[239, 1194], [723, 1903], [239, 1903], [723, 1194]], 481, 1548)",+,"([[557, 879], [933, 1193], [557, 1193], [933, 879]], 745, 1036)"
1371,0,+,"([[239, 1191], [721, 1902], [239, 1902], [721, 1191]], 480, 1546)",+,"([[134, 901], [235, 1091], [134, 1091], [235, 901]], 184, 996)"
1372,0,+,"([[240, 1185], [720, 1900], [240, 1900], [720, 1185]], 480, 1542)",+,"([[84, 861], [228, 1050], [84, 1050], [228, 861]], 156, 955)"
1373,0,+,"([[241, 1183], [721, 1899], [241, 1899], [721, 1183]], 481, 1541)",+,"([[27, 820], [202, 1004], [27, 1004], [202, 820]], 114, 912)"
1374,0,+,"([[237, 1182], [720, 1899], [237, 1899], [720, 1182]], 478, 1540)",+,"([[490, 891], [939, 1200], [490, 1200], [939, 891]], 714, 1045)"
1375,0,+,"([[239, 1183], [719, 1892], [239, 1892], [719, 1183]], 479, 1537)",+,"([[517, 879], [936, 1195], [517, 1195], [936, 879]], 726, 1037)"
1376,0,+,"([[242, 1188], [731, 1892], [242, 1892], [731, 1188]], 486, 1540)",+,"([[533, 874], [930, 1183], [533, 1183], [930, 874]], 731, 1028)"
1377,0,+,"([[243, 1170], [734, 1898], [243, 1898], [734, 1170]], 488, 1534)",+,"([[530, 872], [942, 1183], [530, 1183], [942, 872]], 736, 1027)"
1378,0,+,"([[242, 1168], [734, 1896], [242, 1896], [734, 1168]], 488, 1532)",+,"([[530, 869], [937, 1177], [530, 1177], [937, 869]], 733, 1023)"
1379,0,+,"([[245, 1171], [736, 1898], [245, 1898], [736, 1171]], 490, 1534)",+,"([[549, 869], [943, 1184], [549, 1184], [943, 869]], 746, 1026)"
1380,0,+,"([[244, 1172], [735, 1901], [244, 1901], [735, 1172]], 489, 1536)",+,"([[539, 868], [947, 1179], [539, 1179], [947, 868]], 743, 1023)"
1381,0,+,"([[245, 1164], [739, 1898], [245, 1898], [739, 1164]], 492, 1531)",+,"([[49, 771], [194, 968], [49, 968], [194, 771]], 121, 869)"
1382,0,+,"([[245, 1163], [738, 1898], [245, 1898], [738, 1163]], 491, 1530)",+,"([[93, 820], [238, 1016], [93, 1016], [238, 820]], 165, 918)"
1383,0,+,"([[245, 1166], [737, 1896], [245, 1896], [737, 1166]], 491, 1531)",+,"([[129, 838], [224, 1024], [129, 1024], [224, 838]], 176, 931)"
1384,0,+,"([[240, 1159], [734, 1898], [240, 1898], [734, 1159]], 487, 1528)",+,"([[166, 881], [238, 1052], [166, 1052], [238, 881]], 202, 966)"
1385,0,+,"([[238, 1166], [730, 1884], [238, 1884], [730, 1166]], 484, 1525)",+,"([[550, 872], [940, 1180], [550, 1180], [940, 872]], 745, 1026)"
1386,0,+,"([[244, 1166], [726, 1876], [244, 1876], [726, 1166]], 485, 1521)",+,"([[556, 869], [940, 1170], [556, 1170], [940, 869]], 748, 1019)"
1387,0,+,"([[243, 1166], [726, 1871], [243, 1871], [726, 1166]], 484, 1518)",+,"([[555, 878], [938, 1171], [555, 1171], [938, 878]], 746, 1024)"
1388,0,+,"([[243, 1167], [727, 1872], [243, 1872], [727, 1167]], 485, 1519)",+,"([[542, 884], [934, 1163], [542, 1163], [934, 884]], 738, 1023)"
1389,0,+,"([[238, 1169], [725, 1866], [238, 1866], [725, 1169]], 481, 1517)",+,"([[526, 885], [945, 1174], [526, 1174], [945, 885]], 735, 1029)"
1390,0,+,"([[241, 1169], [723, 1865], [241, 1865], [723, 1169]], 482, 1517)",+,"([[512, 881], [949, 1169], [512, 1169], [949, 881]], 730, 1025)"
1391,0,+,"([[240, 1171], [718, 1865], [240, 1865], [718, 1171]], 479, 1518)",+,"([[508, 871], [949, 1170], [508, 1170], [949, 871]], 728, 1020)"
1392,0,+,"([[241, 1172], [719, 1866], [241, 1866], [719, 1172]], 480, 1519)",+,"([[520, 857], [954, 1173], [520, 1173], [954, 857]], 737, 1015)"
1393,0,+,"([[239, 1172], [718, 1867], [239, 1867], [718, 1172]], 478, 1519)",+,"([[532, 856], [952, 1175], [532, 1175], [952, 856]], 742, 1015)"
1394,0,+,"([[242, 1173], [719, 1868], [242, 1868], [719, 1173]], 480, 1520)",+,"([[540, 863], [964, 1169], [540, 1169], [964, 863]], 752, 1016)"
1395,0,+,"([[233, 1176], [722, 1869], [233, 1869], [722, 1176]], 477, 1522)",+,"([[536, 860], [954, 1173], [536, 1173], [954, 860]], 745, 1016)"
1396,0,+,"([[240, 1177], [728, 1872], [240, 1872], [728, 1177]], 484, 1524)",+,"([[553, 863], [961, 1170], [553, 1170], [961, 863]], 757, 1016)"
1397,0,+,"([[243, 1176], [727, 1879], [243, 1879], [727, 1176]], 485, 1527)",+,"([[547, 870], [950, 1168], [547, 1168], [950, 870]], 748, 1019)"
1398,0,+,"([[244, 1178], [727, 1883], [244, 1883], [727, 1178]], 485, 1530)",+,"([[547, 871], [946, 1165], [547, 1165], [946, 871]], 746, 1018)"
1399,0,+,"([[241, 1180], [725, 1892], [241, 1892], [725, 1180]], 483, 1536)",+,"([[545, 872], [945, 1175], [545, 1175], [945, 872]], 745, 1023)"
1400,0,+,"([[240, 1181], [724, 1897], [240, 1897], [724, 1181]], 482, 1539)",+,"([[539, 874], [938, 1177], [539, 1177], [938, 874]], 738, 1025)"
1401,0,+,"([[236, 1181], [720, 1896], [236, 1896], [720, 1181]], 478, 1538)",+,"([[541, 878], [925, 1193], [541, 1193], [925, 878]], 733, 1035)"
1402,0,+,"([[240, 1182], [720, 1893], [240, 1893], [720, 1182]], 480, 1537)",+,"([[559, 876], [923, 1182], [559, 1182], [923, 876]], 741, 1029)"
1403,0,+,"([[241, 1183], [720, 1894], [241, 1894], [720, 1183]], 480, 1538)",+,"([[565, 876], [922, 1177], [565, 1177], [922, 876]], 743, 1026)"
1404,0,+,"([[240, 1183], [723, 1897], [240, 1897], [723, 1183]], 481, 1540)",+,"([[567, 876], [935, 1178], [567, 1178], [935, 876]], 751, 1027)"
1405,0,+,"([[246, 1186], [730, 1898], [246, 1898], [730, 1186]], 488, 1542)",+,"([[564, 882], [939, 1174], [564, 1174], [939, 882]], 751, 1028)"
1406,0,+,"([[246, 1188], [734, 1904], [246, 1904], [734, 1188]], 490, 1546)",+,"([[561, 888], [942, 1181], [561, 1181], [942, 888]], 751, 1034)"
1407,0,+,"([[246, 1194], [735, 1905], [246, 1905], [735, 1194]], 490, 1549)",+,"([[553, 895], [948, 1188], [553, 1188], [948, 895]], 750, 1041)"
1408,0,+,"([[245, 1190], [735, 1905], [245, 1905], [735, 1190]], 490, 1547)",+,"([[526, 908], [943, 1194], [526, 1194], [943, 908]], 734, 1051)"
1409,0,+,"([[241, 1192], [734, 1905], [241, 1905], [734, 1192]], 487, 1548)",+,"([[519, 902], [951, 1195], [519, 1195], [951, 902]], 735, 1048)"
1410,0,+,"([[247, 1195], [732, 1903], [247, 1903], [732, 1195]], 489, 1549)",+,"([[540, 894], [940, 1195], [540, 1195], [940, 894]], 740, 1044)"
1411,0,+,"([[248, 1195], [732, 1902], [248, 1902], [732, 1195]], 490, 1548)",+,"([[554, 892], [940, 1195], [554, 1195], [940, 892]], 747, 1043)"
1412,0,+,"([[247, 1194], [731, 1901], [247, 1901], [731, 1194]], 489, 1547)",+,"([[552, 891], [938, 1194], [552, 1194], [938, 891]], 745, 1042)"
1413,0,+,"([[244, 1190], [727, 1902], [244, 1902], [727, 1190]], 485, 1546)",+,"([[468, 1728], [733, 1884], [468, 1884], [733, 1728]], 600, 1806)"
1414,0,+,"([[238, 1190], [724, 1902], [238, 1902], [724, 1190]], 481, 1546)",+,"([[556, 882], [947, 1189], [556, 1189], [947, 882]], 751, 1035)"
1415,0,+,"([[240, 1191], [723, 1899], [240, 1899], [723, 1191]], 481, 1545)",+,"([[555, 881], [947, 1189], [555, 1189], [947, 881]], 751, 1035)"
1416,0,+,"([[234, 1193], [719, 1897], [234, 1897], [719, 1193]], 476, 1545)",+,"([[553, 881], [941, 1183], [553, 1183], [941, 881]], 747, 1032)"
1417,0,+,"([[236, 1188], [719, 1899], [236, 1899], [719, 1188]], 477, 1543)",+,"([[554, 879], [934, 1192], [554, 1192], [934, 879]], 744, 1035)"
1418,0,+,"([[239, 1190], [721, 1897], [239, 1897], [721, 1190]], 480, 1543)",+,"([[555, 877], [934, 1187], [555, 1187], [934, 877]], 744, 1032)"
1419,0,+,"([[243, 1193], [726, 1899], [243, 1899], [726, 1193]], 484, 1546)",+,"([[560, 880], [940, 1173], [560, 1173], [940, 880]], 750, 1026)"
1420,0,+,"([[243, 1186], [729, 1898], [243, 1898], [729, 1186]], 486, 1542)",+,"([[560, 883], [931, 1188], [560, 1188], [931, 883]], 745, 1035)"
1421,0,+,"([[240, 1188], [732, 1894], [240, 1894], [732, 1188]], 486, 1541)",+,"([[553, 883], [939, 1187], [553, 1187], [939, 883]], 746, 1035)"
1422,0,+,"([[244, 1184], [732, 1895], [244, 1895], [732, 1184]], 488, 1539)",+,"([[562, 880], [937, 1187], [562, 1187], [937, 880]], 749, 1033)"
1423,0,+,"([[245, 1185], [733, 1894], [245, 1894], [733, 1185]], 489, 1539)",+,"([[566, 879], [942, 1178], [566, 1178], [942, 879]], 754, 1028)"
1424,0,+,"([[245, 1181], [732, 1896], [245, 1896], [732, 1181]], 488, 1538)",+,"([[561, 876], [939, 1188], [561, 1188], [939, 876]], 750, 1032)"
1425,0,+,"([[243, 1185], [731, 1892], [243, 1892], [731, 1185]], 487, 1538)",+,"([[562, 875], [934, 1184], [562, 1184], [934, 875]], 748, 1029)"
1426,0,+,"([[242, 1183], [732, 1891], [242, 1891], [732, 1183]], 487, 1537)",+,"([[559, 875], [934, 1185], [559, 1185], [934, 875]], 746, 1030)"
1427,0,+,"([[244, 1182], [732, 1893], [244, 1893], [732, 1182]], 488, 1537)",+,"([[554, 874], [937, 1180], [554, 1180], [937, 874]], 745, 1027)"
1428,0,+,"([[245, 1182], [732, 1892], [245, 1892], [732, 1182]], 488, 1537)",+,"([[559, 873], [935, 1184], [559, 1184], [935, 873]], 747, 1028)"
1429,0,+,"([[249, 1180], [734, 1880], [249, 1880], [734, 1180]], 491, 1530)",+,"([[586, 863], [939, 1174], [586, 1174], [939, 863]], 762, 1018)"
1430,0,+,"([[247, 1180], [732, 1892], [247, 1892], [732, 1180]], 489, 1536)",+,"([[585, 865], [932, 1180], [585, 1180], [932, 865]], 758, 1022)"
1431,0,+,"([[245, 1183], [733, 1895], [245, 1895], [733, 1183]], 489, 1539)",+,"([[581, 867], [946, 1174], [581, 1174], [946, 867]], 763, 1020)"
